Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
4T,FMR2,-98.58452,26.57328,University of Texas,TexNet,,"Starr County, TX",140,2021-10-06,
4T,FMR3,-98.5413535,26.5808215,University of Texas,TexNet,,,131,2021-10-06,
4T,FMR4,-98.5649445,26.5790753,Unavailable,TXHUB,,"Starr County, TX",137,2021-10-08,
4O,OP01,-101.36427,32.43232,,,,"NE of Big Spring, TX",760,2021-11-21,
GM,NMP11,-103.93155,32.00668,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W1S1,882.7,2021-03-17,
GM,NMP12,-103.95259,32.12755,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W1S2,951.8,2021-03-17,
GM,NMP31,-103.73465,32.03585,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S1,972.8,2021-03-18,
GM,NMP44,-103.61883,32.20474,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S4,1085.7,2021-03-19,
4O,MID02,-102.1669,32.1297,Unavailable,TXHUB,,"Midland, TX",883,2021-12-06,
4O,SA02,-104.2649,31.67163,,,,"West of Orla, TX",1127.5,2021-12-07,
4O,SA04,-104.25458,31.75593,,,,"West of Orla, TX",1092.1,2021-12-07,
4O,SA06,-104.14971,31.75696,,,,"West of Orla, TX",1048.2,2021-12-07,
4O,MBBB1,-101.891072,32.246247,,,,,855,2021-09-16,
4O,CT01,-104.144532,31.90285,,,,,994,2022-02-25,
4O,CT02,-104.122493,31.95689,,,,,952,2022-02-25,
4T,EL01,-95.136906,29.613102,,,,Ellington AFB,8,2021-11-05,
4T,EL02,-95.166403,29.590574,,,,Ellington AFB,10,2021-11-05,
4T,EL03,-95.174532,29.622642,,,,Ellington AFB,13,2021-11-05,
4T,EL08,-95.124682,29.567319,University of Texas,TexNet,,,10,2021-11-18,
4T,EL07,-95.082627,29.653474,University of Texas,TexNet,,EL07,9,2021-12-01,
4T,EL04,-95.309331,29.563707,University of Texas,TexNet,,EL04,2,2022-03-10,
